,text,tag,raw,!stopwords,stemmed,preprocessed
351,Добрый день. Напишите пожалуйста если кто знает сколько заявлений о приеме на обучение было подано в 2021 году по каждой конкурсной группе 8-го института по итогу на день окончания приема заявлений.,порядок приема,добрый день  напишите пожалуйста если кто знает сколько заявлений о приеме на обучение было подано в      году по каждой конкурсной группе   го института по итогу на день окончания приема заявлений ,напишите знает сколько заявлений приеме обучение подано году каждой конкурсной группе го института итогу окончания приема заявлений,напиш знает скольк заявлен прием обучен пода год кажд конкурсн групп го институт итог окончан прием заявлен,написать знать сколько заявление прием обучение год каждый конкурсный группа го институт итог окончание прием заявление
352,"0/ Что лучше: пм или прог инж, хотелось бы услышать мнение",описание направлений,   что лучше  пм или прог инж  хотелось бы услышать мнение,пм прог инж хотелось услышать мнение,пм прог инж хотел услыша мнен,пм прога инж хотеться услышать мнение
353,"А я правильно понимаю, что на ПМИ Python не изучается?",описание направлений,а я правильно понимаю  что на пми python не изучается ,правильно понимаю пми python не изучается,правильн понима пми python не изуча,правильно понимать пми python не изучаться
354,Что такое фиит?..,описание направлений,что такое фиит   ,такое фиит,так фи,фиит
355,А на общежитие будет конкурс как в прошлом году? 25% мест на направление?,общежитие,а на общежитие будет конкурс как в прошлом году      мест на направление ,общежитие конкурс прошлом году мест направление,общежит конкурс прошл год мест направлен,общежитие конкурс прошлый год место направление
356,"Будет ли опубликовано точное количество мест в общежитиях по конкурсным группам, не в процентах а в штуках? Если будет то когда это происходило в прошлом(примерная дата)?",общежитие,будет ли опубликовано точное количество мест в общежитиях по конкурсным группам  не в процентах а в штуках  если будет то когда это происходило в прошлом примерная дата  ,опубликовано точное количество мест общежитиях конкурсным группам не процентах штуках происходило прошлом примерная дата,опубликова точн количеств мест общежит конкурсн групп не процент штук происход прошл примерн дат,опубликовывать точный количество место общежитие конкурсный группа не процент штука происходить прошлое примерный дата
357,"то есть даже когда будет прием оригинала аттестатов 29 июля - 3 августа, в эти сроки тоже оригинал вести не надо? все только в электронном формате?",порядок приема,то есть даже когда будет прием оригинала аттестатов    июля     августа  в эти сроки тоже оригинал вести не надо  все только в электронном формате ,прием оригинала аттестатов июля августа сроки оригинал вести не электронном формате,при оригина аттестат июл август срок оригина вест не электрон формат,прием оригинал аттестат июль август срок оригинал вести не электронный формат
358,"вплоть до 25 июля, почему до 3 августа?",даты приема,вплоть до    июля  почему до   августа ,вплоть июля августа,вплот июл август,вплоть июль август
359,"Торопиться не надо, на Госуслугах тоже непоняток хватает и вообще не совсем понятно как это будет работать. У меня заявление на госуслугах два дня проболталось в статусе ""Отправлено в вуз"".(не МАИ). Когда я обратился в вуз мне порекомендовали использовать их сайт.",госуслуги,торопиться не надо  на госуслугах тоже непоняток хватает и вообще не совсем понятно как это будет работать  у меня заявление на госуслугах два дня проболталось в статусе  отправлено в вуз   не маи   когда я обратился в вуз мне порекомендовали использовать их сайт ,торопиться не госуслугах непоняток хватает вообще не понятно работать заявление госуслугах дня проболталось статусе отправлено вуз не обратился вуз порекомендовали использовать сайт,тороп не госуслуг непоняток хвата вообщ не понятн работа заявлен госуслуг дня проболта статус отправл вуз не обрат вуз порекомендова использова сайт,торопиться не госуслуга непонятка хватать вообще не понятно работать заявление госуслуга проболтаться статус отправлять вуз не обращаться вуз порекомендовать использовать сайт
360,А когда будут рейтинговые списки?,конкурсные списки,а когда будут рейтинговые списки ,будут рейтинговые списки,будут рейтингов списк,рейтинговый список
361,Сколько мест в общежитии на этот год?,общежитие,сколько мест в общежитии на этот год ,сколько мест общежитии год,скольк мест общежит год,сколько место общежитие год
362,"Добрый  день, скажите, пож-та, при подаче документов в группе Компьютерные науки и прикладная математика запрашиваются три профиля, с выбранным одним профилем данные не сохраняются. Нужно выбрать еще два профиля? Если да, то зачем выбирать именно три профиля?",технические проблемы,добрый день  скажите  пож та  при подаче документов в группе компьютерные науки и прикладная математика запрашиваются три профиля  с выбранным одним профилем данные не сохраняются  нужно выбрать еще два профиля  если да  то зачем выбирать именно три профиля ,скажите пож та подаче документов группе компьютерные науки прикладная математика запрашиваются профиля выбранным одним профилем данные не сохраняются нужно выбрать профиля выбирать профиля,скаж пож та подач документ групп компьютерн наук прикладн математик запрашива профил выбра одн профил дан не сохраня нужн выбра профил выбира профил,подача документ группа компьютерный наука прикладной математика запрашиваться профиль выбирать профиль данные не сохраняться нужно выбирать профиль выбирать профиль
363,"Здравствуйте, 270 на общежитие, это значит,что  ребята,у которых меньше 270 уже точно не получат общежитие?",общежитие,здравствуйте      на общежитие  это значит что ребята у которых меньше     уже точно не получат общежитие ,общежитие значит которых меньше точно не получат общежитие,общежит знач котор меньш точн не получат общежит,общежитие значит который мало точно не получать общежитие
364,"Очень хочется попасть именно в восьмой институт, к вам) Но боюсь, что не пройду с общежитием и придется идти в 3 институт",общежитие,очень хочется попасть именно в восьмой институт  к вам  но боюсь  что не пройду с общежитием и придется идти в   институт,очень хочется попасть восьмой институт боюсь не пройду общежитием придется идти институт,очен хочет попаст восьм институт бо не пройд общежит придет идт институт,очень хотеться попадать восьмой институт бояться не пройти общежитие приходиться идти институт
365,А за волонтёрство 100+ часов сколько дают?,индивидуальные достижения,а за волонтёрство      часов сколько дают ,волонтёрство часов сколько дают,волонтерств час скольк дают,волонтерство час сколько давать
366,"Где узнать пин, чтобы увидеть ранжированные списки?",конкурсные списки,где узнать пин  чтобы увидеть ранжированные списки ,узнать пин увидеть ранжированные списки,узна пин увидет ранжирова списк,пин увидеть ранжировать список
367,"Здравствуйте, подскажите, пожалуйста, сколько мест из 250 выделено на направление 01.03.02, а сколько на направление 01.03.04? И можно ли после поступления будет выбрать конкретный профиль обучения при количестве баллов 275?",описание направлений,здравствуйте  подскажите  пожалуйста  сколько мест из     выделено на направление           а сколько на направление           и можно ли после поступления будет выбрать конкретный профиль обучения при количестве баллов     ,подскажите сколько мест выделено направление сколько направление поступления выбрать конкретный профиль обучения количестве баллов,подскаж скольк мест выдел направлен скольк направлен поступлен выбра конкретн профил обучен количеств балл,сколько место выделять направление сколько направление поступление выбирать конкретный профиль обучение количество балл
368,Вопрос по поводу оригинала аттестата. Я могу принести его в любое время работы приемной комиссии без предварительной записи? Сколько по времени занимает прием документа?,порядок приема,вопрос по поводу оригинала аттестата  я могу принести его в любое время работы приемной комиссии без предварительной записи  сколько по времени занимает прием документа ,поводу оригинала аттестата могу принести любое время работы приемной комиссии предварительной записи сколько времени занимает прием документа,повод оригина аттестат мог принест люб врем работ приемн комисс предварительн запис скольк времен занима при документ,повод оригинал аттестат приносить любой время работа приемная комиссия предварительный запись сколько время занимать прием документ
369,а если я уже подал заявление на поступление то могу ли я редактировать заявление и добавить туда еще одно направление для участи в конкурсе?,технические проблемы,а если я уже подал заявление на поступление то могу ли я редактировать заявление и добавить туда еще одно направление для участи в конкурсе ,подал заявление поступление могу редактировать заявление добавить туда одно направление участи конкурсе,пода заявлен поступлен мог редактирова заявлен добав туд одн направлен участ конкурс,заявление поступление редактировать заявление добавлять туда направление участь конкурс
370,Что такое нулевая волна? Если не сложно,порядок приема,что такое нулевая волна  если не сложно,такое нулевая волна не сложно,так нулев волн не сложн,нулевой волна не сложно
371,"Так это противоречит 11.07..там же написано, что по егэ  до 25 числа, а до 11.07 по внутренним экзаменам.целевое не является внутренними экзаменами",порядок приема,так это противоречит        там же написано  что по егэ до    числа  а до       по внутренним экзаменам целевое не является внутренними экзаменами,противоречит написано егэ числа внутренним экзаменам целевое не является внутренними экзаменами,противореч написа егэ числ внутрен экзамен целев не явля внутрен экзамен,противоречить написать егэ число внутренний экзамен целевой не являться внутренний экзамен
372,"Ну подождите..нам это важно, нигде ни в каких видео не было, что нужно подать целевое до 11.07, поэтому все считают, что это можно прикрепить и позже, но до окончания приема заявлений..у вас половина народу сейчас нарвется на это",даты приема,ну подождите  нам это важно  нигде ни в каких видео не было  что нужно подать целевое до        поэтому все считают  что это можно прикрепить и позже  но до окончания приема заявлений  у вас половина народу сейчас нарвется на это,подождите нам важно нигде каких видео не нужно подать целевое поэтому считают прикрепить позже окончания приема заявлений половина народу нарвется,подожд нам важн нигд как виде не нужн пода целев поэт счита прикреп позж окончан прием заявлен половин народ нарвет,подождать важно нигде видео не нужно целевой поэтому считать прикреплять поздно окончание прием заявление половина народ нарываться
373,"Здравствуйте, а есть ли общежития для платников?",общежитие,здравствуйте  а есть ли общежития для платников ,общежития платников,общежит платник,общежитие платников
374,"то есть даже когда будет прием оригинала аттестатов 29 июля - 3 августа, в эти сроки тоже оригинал вести не надо? все только в электронном формате?",порядок приема,то есть даже когда будет прием оригинала аттестатов    июля     августа  в эти сроки тоже оригинал вести не надо  все только в электронном формате ,прием оригинала аттестатов июля августа сроки оригинал вести не электронном формате,при оригина аттестат июл август срок оригина вест не электрон формат,прием оригинал аттестат июль август срок оригинал вести не электронный формат
375,А согласие выбирается отдельно на направление? Сколько максимум подать согласий?,порядок приема,а согласие выбирается отдельно на направление  сколько максимум подать согласий ,согласие выбирается отдельно направление сколько максимум подать согласий,соглас выбира отдельн направлен скольк максимум пода соглас,согласие выбираться отдельно направление сколько максимум согласие
376,Сколько по времени отзывается согласие?,технические проблемы,сколько по времени отзывается согласие ,сколько времени отзывается согласие,скольк времен отзыва соглас,сколько время отзываться согласие
377,"то есть согласие можно уже после дедлайна перекладывать, когда списки известны будут?",порядок приема,то есть согласие можно уже после дедлайна перекладывать  когда списки известны будут ,согласие дедлайна перекладывать списки известны будут,соглас дедлайн перекладыва списк известн будут,согласие дедлайн перелагать список известный
378,"Кстати да, если я захочу забрать аттестат и согласие и, напр, переложить в др вуз, сколько это примерно по времени займет?",порядок приема,кстати да  если я захочу забрать аттестат и согласие и  напр  переложить в др вуз  сколько это примерно по времени займет ,кстати захочу забрать аттестат согласие напр переложить др вуз сколько примерно времени займет,кстат захоч забра аттестат соглас напр перелож др вуз скольк примерн времен займет,кстати захотеть забирать аттестат согласие напр перелагать др вуз сколько примерно время занимать
379,"я сейчас звонил на горячую линию, мне ответили, что согласие можно переложить один раз до 3 августа",даты приема,я сейчас звонил на горячую линию  мне ответили  что согласие можно переложить один раз до   августа,звонил горячую линию ответили согласие переложить августа,звон горяч лин ответ соглас перелож август,звонить горячий линия отвечать согласие перелагать август
380,"Вообще везде было сказано, что согласие можно переложить до 5ти раз, а не один",порядок приема,вообще везде было сказано  что согласие можно переложить до  ти раз  а не один,вообще везде сказано согласие переложить не,вообщ везд сказа соглас перелож не,вообще везде согласие перелагать не
381,"Добрый день, скажите, пож-та, заявление принято, где и когда можно посмотреть свои баллы с учетом ИД, сами посчитали, но вдруг ошиблись?",индивидуальные достижения,добрый день  скажите  пож та  заявление принято  где и когда можно посмотреть свои баллы с учетом ид  сами посчитали  но вдруг ошиблись ,скажите пож та заявление принято посмотреть свои баллы учетом ид сами посчитали ошиблись,скаж пож та заявлен принят посмотрет сво балл учет ид сам посчита ошибл,заявление принимать посмотреть свой балл учет иды посчитать ошибаться
382,"Здравствуйте! Подскажите, пожалуйста, я подавал заявление на особую квоту, мне сказали, что у вас не отобразилось это попросили прислать скан документов на почту, хотел бы узнать, прошла ли моя льгота на поступление по особой квоте?",квота,здравствуйте  подскажите  пожалуйста  я подавал заявление на особую квоту  мне сказали  что у вас не отобразилось это попросили прислать скан документов на почту  хотел бы узнать  прошла ли моя льгота на поступление по особой квоте ,подскажите подавал заявление особую квоту сказали не отобразилось попросили прислать скан документов почту хотел узнать прошла льгота поступление особой квоте,подскаж подава заявлен особ квот сказа не отобраз попрос присла скан документ почт хотел узна прошл льгот поступлен особ квот,заявление особый квота не отображаться попросить присылать скан документ почта проходить льгота поступление особый квота
383,"То что согласие на зачисление подано на другое направление это хоть будет, а то не понятно как оценивать эти списки и свои шансы.",порядок приема,то что согласие на зачисление подано на другое направление это хоть будет  а то не понятно как оценивать эти списки и свои шансы ,согласие зачисление подано другое направление не понятно оценивать списки свои шансы,соглас зачислен пода друг направлен не понятн оценива списк сво шанс,согласие зачисление направление не понятно оценивать список свой шанс
384,Если согласие подано  в МАИ на какое-то направление и не отображается в списках других направлений куда подавал заявление то это по минимуму странно.,технические проблемы,если согласие подано в маи на какое то направление и не отображается в списках других направлений куда подавал заявление то это по минимуму странно ,согласие подано какое направление не отображается списках других направлений подавал заявление минимуму странно,соглас пода как направлен не отобража списк друг направлен подава заявлен минимум стран,согласие направление не отображаться список направление заявление минимум странно
385,"Название мероприятия заинтерисовало:""Встреча директора института 8 с победителями олимпиад:поступаем БВИ в Computer Science"", сын поступает по БВИ на бакалавриат, может мы что-то важное пропустили, живем не Москве,  будет запись или какой-нибудь краткий очерк о мероприятии?",индивидуальные достижения,название мероприятия заинтерисовало  встреча директора института   с победителями олимпиад поступаем бви в computer science   сын поступает по бви на бакалавриат  может мы что то важное пропустили  живем не москве  будет запись или какой нибудь краткий очерк о мероприятии ,название мероприятия заинтерисовало встреча директора института победителями олимпиад поступаем бви computer science сын поступает бви бакалавриат важное пропустили живем не москве запись краткий очерк мероприятии,назван мероприят заинтерисова встреч директор институт победител олимпиад поступа бви computer science сын поступа бви бакалавриат важн пропуст жив не москв зап кратк очерк мероприят,название мероприятие заинтерисовывать встреча директор институт победитель олимпиада поступать бви computer science сын поступать бви бакалавриат важный пропускать жить не москва запись краткий очерк мероприятие
386,"Дайте, пож-та, ссылку на канал",контакты,дайте  пож та  ссылку на канал,дайте пож та ссылку канал,дайт пож та ссылк кана,давать ссылка канал
387,"А что делать если я не целевик и хочу на пми, а на пм никак",распределение по кафедрам,а что делать если я не целевик и хочу на пми  а на пм никак,делать не целевик хочу пми пм никак,дела не целевик хоч пми пм никак,делать не целевик пми пм никак
388,"Чем выше баллы, тем больше шансов попасть на ПМИ?",распределение по кафедрам,чем выше баллы  тем больше шансов попасть на пми ,выше баллы шансов попасть пми,выш балл шанс попаст пми,высоко балл шанс попадать пми
389,А есть какая-нибудь информация по фииту?,описание направлений,а есть какая нибудь информация по фииту ,информация фииту,информац фиит,информация фиит
390,Когда они план выложат и прочее,описание направлений,когда они план выложат и прочее,план выложат прочее,план выложат проч,план выкладывать прочее
391,"Вопросик  Я подаю через ГосУслуги и меня настораживает, что уже третий день висит «Ожидается рассмотрение вузом» Так и должно быть? Я не пролечу, надеюсь?",госуслуги,вопросик я подаю через госуслуги и меня настораживает  что уже третий день висит  ожидается рассмотрение вузом  так и должно быть  я не пролечу  надеюсь ,вопросик подаю госуслуги настораживает третий висит ожидается рассмотрение вузом должно не пролечу надеюсь,вопросик пода госуслуг насторажива трет вис ожида рассмотрен вуз должн не пролеч над,вопросик госуслуга настораживать третий висеть ожидаться рассмотрение вуз должно не пролететь надеяться
392,Рейтинговые списки во сколько появятся?,конкурсные списки,рейтинговые списки во сколько появятся ,рейтинговые списки сколько появятся,рейтингов списк скольк появ,рейтинговый список сколько появляться
393,"Какая последняя дата , чтобы  привезти оригинал?",даты приема,какая последняя дата   чтобы привезти оригинал ,последняя дата привезти оригинал,последн дат привезт оригина,последний дата привозить оригинал
394,"В случае, если приказ о награждении знаками отличия ГТО за 2 квартал выйдет до 25 июля, можно ли в качестве подтверждения ИД приложить выписку из приказа министерства спорта? По опыту прошлого года могу сказать, что далеко не всем успевало приехать удостоверение до окончания срока подачи документов",индивидуальные достижения,в случае  если приказ о награждении знаками отличия гто за   квартал выйдет до    июля  можно ли в качестве подтверждения ид приложить выписку из приказа министерства спорта  по опыту прошлого года могу сказать  что далеко не всем успевало приехать удостоверение до окончания срока подачи документов,случае приказ награждении знаками отличия гто квартал выйдет июля качестве подтверждения ид приложить выписку приказа министерства спорта опыту прошлого года могу далеко не всем успевало приехать удостоверение окончания срока подачи документов,случа приказ награжден знак отлич гто кварта выйдет июл качеств подтвержден ид прилож выписк приказ министерств спорт опыт прошл год мог далек не всем успева приеха удостоверен окончан срок подач документ,случай приказ награждение знак отличие гто квартал выходить июль качество подтверждение иды прикладывать выписка приказ министерство спорт опыт прошлый год далеко не успевать приезжать удостоверение окончание срок подача документ
395,"Почему в списке заявлений нет направления: ""Системы управления летательными аппаратами""?",технические проблемы,почему в списке заявлений нет направления   системы управления летательными аппаратами  ,списке заявлений нет направления системы управления летательными аппаратами,списк заявлен нет направлен систем управлен летательн аппарат,список заявление нет направление система управление летательный аппарат
396,"Почему в заявлении профили обучения отображаются как им хочется, сами перемещаются по позициям, появляются незаявленные мной, у меня на сп 24.05.01 появились двухсредные да, в группах 01.03.00 и 09.03.01 перетасовались по позициям.Как такое получается?",технические проблемы,почему в заявлении профили обучения отображаются как им хочется  сами перемещаются по позициям  появляются незаявленные мной  у меня на сп          появились двухсредные да  в группах          и          перетасовались по позициям как такое получается ,заявлении профили обучения отображаются хочется сами перемещаются позициям появляются незаявленные мной сп появились двухсредные группах перетасовались позициям такое получается,заявлен проф обучен отобража хочет сам перемеща позиц появля незаявлен мно сп появ двухсредн групп перетасова позиц так получа,заявление профиль обучение отображаться хотеться перемещаться позиция появляться незаявленный сп появляться двухсредный группа перетасоваться позиция получаться
397,При просмотре заявления в ЛК отображается то что я написал.,технические проблемы,при просмотре заявления в лк отображается то что я написал ,просмотре заявления лк отображается написал,просмотр заявлен лк отобража написа,просмотр заявление лк отображаться написать
398,"Продолжение на 01.03.00 первым была информатика, на 09.03.01 первым было программное обеспечение, на 24.05.01 первым было моделирование, не было двухсредных Ла, скриншота у меня нет, как выше писал Я поправил, и заявление сейчас на проверке.",технические проблемы,продолжение на          первым была информатика  на          первым было программное обеспечение  на          первым было моделирование  не было двухсредных ла  скриншота у меня нет  как выше писал я поправил  и заявление сейчас на проверке ,продолжение первым информатика первым программное обеспечение первым моделирование не двухсредных ла скриншота нет выше писал поправил заявление проверке,продолжен перв информатик перв программн обеспечен перв моделирован не двухсредн ла скриншот нет выш писа поправ заявлен проверк,продолжение первый информатика первый программный обеспечение первый моделирование не двухсредный ла скриншот нет высокий писать поправлять заявление проверка
399,Когда будут ранжированные списки?,конкурсные списки,когда будут ранжированные списки ,будут ранжированные списки,будут ранжирова списк,ранжировать список
400,"А можно ли подавать одновременно через ЕПГУ и через сайт ВУЗа? Где-то об этом слышал, но пока не довелось проверить…",порядок приема,а можно ли подавать одновременно через епгу и через сайт вуза  где то об этом слышал  но пока не довелось проверить…,одновременно епгу сайт вуза слышал пока не довелось проверить…,одновремен епг сайт вуз слыша пок не довел проверить…,одновременно епгу сайт вуз слышать пока не доводиться проверять …
401,Почему вузу не нравится когда с госов подают,госуслуги,почему вузу не нравится когда с госов подают,вузу не нравится госов подают,вуз не нрав гос пода,вуз не нравиться госов
402,"А, и еще вопрос, сколько нужно ждать после отзыва заявления с ГосУслуг, чтобы переподать через сайт?",технические проблемы,а  и еще вопрос  сколько нужно ждать после отзыва заявления с госуслуг  чтобы переподать через сайт ,сколько нужно ждать отзыва заявления госуслуг переподать сайт,скольк нужн ждат отзыв заявлен госуслуг перепода сайт,сколько нужно ждать отзыв заявление госуслуга переподавать сайт
403,"Интересно почему через госуслуги долго обрабатывают заявки, если человек подаст 25 числа обработют ли, или пусть пойдет куда подальше .",госуслуги,интересно почему через госуслуги долго обрабатывают заявки  если человек подаст    числа обработют ли  или пусть пойдет куда подальше  ,интересно госуслуги долго обрабатывают заявки человек подаст числа обработют пусть пойдет подальше,интересн госуслуг долг обрабатыва заявк человек подаст числ обработют пуст пойдет подальш,интересно госуслуга долго обрабатывать заявка человек число обработют пусть пойти далеко
